obs_id	class	default	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	time	year	testing_set	training_set
16	1547	0	0.543620169	0.380406916	0.520254016	0.661118329	0.598970771	0.096829616	0.557614207	0.538540721	0.121705882	0.613926113	0.549650669	0.847556591	0.426170081	0.458431363	0.57032007	0.505031347	0.245039254	0.500934005	0.132265359	0.391660005	0.590188265	0.000111125	0.366835356	0.102711216	0.825843573	0	6	2012	0	1
17	1547	0	0.543328524	0.380501211	0.519263864	0.64739418	0.59869957	0.102057129	0.555485606	0.537890196	0.120833851	0.636826396	0.550228953	0.952754736	0.394155562	0.399013311	0.563257337	0.500281096	0.620521188	0.500899077	0.158140242	0.391486526	0.59188515	0.000171537	0.367485225	0.115956835	0.842652798	0	7	2013	0	1
18	1547	0	0.543569148	0.380587965	0.518188179	0.662077427	0.598924518	0.103800297	0.556590736	0.539032161	0.122872092	0.589434743	0.549312413	0.819354415	0.430260152	0.452135384	0.569255769	0.508755386	0.521128297	0.50094825	0.162455753	0.39064756	0.589040756	0.000118987	0.366999	0.120538078	0.844757319	0	8	2014	0	1
19	1547	0	0.544095933	0.380516708	0.516985655	0.677771211	0.59941721	0.10601981	0.561007798	0.539935529	0.124326758	0.557301521	0.548421443	0.672642171	0.469569057	0.500248015	0.58223635	0.526683271	0.330486566	0.501058221	0.153454855	0.391136259	0.584798873	5.57021E-05	0.366918802	0.118629158	0.806435704	0	9	2015	0	1
20	1547	0	0.54409039	0.380567849	0.516538978	0.685553789	0.59941119	0.110770389	0.560760438	0.540167272	0.123595431	0.545761406	0.54817158	0.643002927	0.477871418	0.498975128	0.582178652	0.529521823	0.570159376	0.501105011	0.177013353	0.391242564	0.589170754	0.000187684	0.366779596	0.131858572	0.810210228	0	10	2016	0	1
21	1547	0	0.543200672	0.380578637	0.518561304	0.661764681	0.598578274	0.105347775	0.554402292	0.537716806	0.117349036	0.718295574	0.551910341	0.623249471	0.304548472	0.299187452	0.526556134	0.437913656	0.420408338	0.500864089	0.127621651	0.391824603	0.587208986	0.000813493	0.367950529	0.101723485	0.844222963	0	11	2017	0	1
22	2270	0	0.542723	0.380095601	0.529980421	0.511624157	0.600788117	0.074740239	0.552644372	0.52602309	0.039611578	0.567518473	0.54754746	0.482807934	0.233433187	0.438120514	0.458198369	0.489588231	0.479345292	0.507267416	0.020754779	0.378572077	0.591864348	0.001222654	0.607798278	0.037016522	0.824198008	0	1	2009	1	0
23	2270	0	0.562551975	0.379806489	0.554766357	0.520881593	0.602724552	0.074822076	0.552985609	0.526595116	0.0387211	0.565005302	0.548044682	0.48391071	0.274738371	0.50469017	0.517145872	0.494996905	0.438890636	0.509215176	0.019729022	0.382520556	0.592366993	0.001446089	0.671189964	0.035966631	0.840737879	0	2	2010	1	0
24	2270	0	0.512673438	0.378889859	0.653547287	0.434942722	0.592671871	0.07470452	0.551154733	0.523053944	0.037580531	1.291111469	0.559915125	0.67739898	-2.276629925	0.661427438	0.670764506	-0.065998197	0.489453226	0.501783431	0.020220874	0.388355762	0.620086253	0.001496607	0.859797657	0.03747794	0.851722896	0	3	2011	1	0
25	2270	0	0.457664728	0.375302136	1.154498816	0.398596466	0.58564198	0.072110675	0.549975336	0.521173596	0.037204929	0.383939207	0.544993281	0.413851023	0.992543638	0.622834444	0.639398158	0.659198463	0.493647516	0.495866239	0.021077458	0.387732595	0.639862299	0.001040724	0.910971344	0.033964969	0.831299424	0	4	2012	1	0
26	2270	0	0.359127551	0.370504588	-3.31491971	0.387548447	0.582734704	0.071340747	0.549757063	0.521275759	0.03554083	0.475164771	0.546545506	0.423554838	0.617999315	0.635329425	0.631528974	0.567645669	0.576579511	0.466395795	0.026193325	1.215416312	10.12880993	0.00282354	20.85139465	0.034536347	0.845688343	0	5	2013	1	0
27	2270	0	0.542723	0.364388764	0.410050839	0.33220765	0.575411499	0.0778891	0.547512353	0.519001067	0.034319751	0.431535929	0.545919597	0.454920471	0.713486373	0.606914163	0.61688143	0.591062129	0.373307586	0.486167222	0.021954142	-0.227388129	0.53915894	0.003000461	-0.414689928	0.040428393	0.833010137	0	6	2014	1	0
28	2270	0	0.542723	0.365199596	0.583792329	0.460533947	0.602361918	0.070938237	0.552721262	0.525053978	0.034613628	0.579001308	0.547975719	0.469854653	0.205223128	0.488057524	0.463337421	0.473510802	0.448018611	0.514442504	0.020298895	0.33832109	0.595531881	0.002164644	-0.448375434	0.026336206	0.834065914	0	7	2015	1	0
29	2270	0	0.542723	0.370432198	0.542935014	0.53203249	0.61419344	0.072399251	0.554555237	0.52798456	0.035517652	0.527618349	0.547331452	0.46089524	0.353590608	0.562979877	0.556788385	0.51139164	0.579897702	0.536616266	0.024119366	1.321531653	0.289680481	0.001514761	47.23026657	0.02868613	0.769646585	0	8	2016	1	0
30	2270	0	4.381474972	0.370649844	0.563373148	0.477644771	0.607688248	0.072692536	0.55356437	0.526112974	0.035548955	0.544815183	0.547576249	0.463001847	0.262462616	0.541540444	0.52621454	0.491275996	0.381834716	0.527376533	0.02099121	0.46232909	0.908791065	0.000947708	17.14333725	0.031186501	0.769523621	0	9	2017	1	0
31	2797	0	0.542723	0.37853244	0.535011411	0.560994208	0.612506509	0.076495774	0.555129945	0.527461112	0.039429039	0.551082611	0.547539473	0.461569667	0.530347288	0.588315249	0.597900093	0.546846449	0.473233759	0.510000944	0.019700727	0.423266977	0.597256184	0.012662026	0.873000205	0.042266235	1	0	1	2007	0	1
32	2797	0	0.542769015	0.378578931	0.633312285	0.388951093	0.601284385	0.074024446	0.552688062	0.523975253	0.038140789	0.695599139	0.625325382	0.449700415	0.12902689	0.395940393	0.382014513	0.375666052	0.473233759	0.503840566	0.019700727	0.378096581	0.597256184	0.017660206	0.365181655	0.041240051	0.915293276	0	2	2008	0	1
33	2797	0	0.696879804	0.381336272	0.514300883	0.988545954	0.617313325	0.079957545	0.556640685	0.529653013	0.041642293	0.513681233	0.547215343	0.453645945	0.530347288	0.588315249	0.597900093	0.546846449	0.473233759	0.52907598	0.019700727	0.4074184	0.597256184	0.020313392	0.719383299	0.054178249	1	0	3	2009	0	1
34	2797	0	0.596618235	0.382468522	0.545018256	0.884937942	0.607546091	0.089529716	0.554831505	0.52639401	0.038312517	0.659315348	0.548996687	0.563425601	0.326682746	0.538684726	0.394739449	0.375666052	0.363440365	0.505904138	0.021085069	0.661788583	0.46593678	0.013561005	0.545739174	0.065782368	0.917939425	0	4	2010	0	1
35	2797	0	0.489394158	0.378938645	0.378178507	0.339853287	0.590704501	0.077421106	0.550611258	0.521388173	0.037885297	0.436713159	0.546574771	0.426601946	0.593227387	0.6316095	0.802494705	0.733106375	0.873661697	0.489541024	0.022531744	0.489609331	0.535893202	0.007588441	0.729717076	0.040179037	0.952001274	0	5	2011	0	1
36	2797	1	0.542723	0.370341748	0.501332343	0.388901442	0.500873566	0.052439567	0.539089441	0.502584338	0.033975028	0.500450432	0.547117353	0.423217684	0.530347288	0.588315249	0.597900093	0.546846449	0.473233759	0.501275003	0.019700727	0.370310724	0.597256184	0.001694431	0.365181655	0.007479202	1	1	6	2012	0	1
37	3567	0	0.542723	0.375276059	0.525040388	0.567275047	0.609111071	0.11755909	0.570531011	0.527736843	0.042285901	0.668026567	0.547902107	0.596586943	0.278659612	0.561526358	0.58432287	0.483106166	0.471837819	0.501607955	0.021585107	0.651895702	0.590485036	0.000129922	0.367614299	0.074443616	0.544764757	0	1	2012	0	1
38	3567	0	0.573916256	0.376697481	0.530499816	0.665608943	0.610785544	0.076838508	0.562628567	0.529807389	0.047248699	0.543265581	0.547665596	0.503900826	0.521716237	0.588315249	0.597900093	0.546846449	0.50800854	0.503035188	0.023317887	0.495078385	0.523041368	0.079205558	0.393650323	0.052190591	1	0	2	2013	0	1
39	3567	0	0.526332855	0.375431269	0.378178507	0.388772249	0.590318382	0.065611519	0.544064939	0.521776557	0.04540715	0.636826396	0.703208387	0.42233485	0.460125983	0.588315249	0.597900093	0.546846449	0.431436271	0.500868619	0.020033555	0.537052453	0.524250984	0.063978143	0.378176034	0.024899857	1	0	3	2014	0	1
40	3567	1	0.498116165	0.370632321	0.313677907	0.348044992	0.578422248	0.052589547	0.548915207	0.520352006	0.035869081	0.430147618	0.522429705	0.441546023	0.533965051	0.588315249	0.597900093	0.546846449	0.470090538	0.498488218	0.019705355	0.660793603	0.352324903	0.012083676	0.902460218	0.007707083	1	0	4	2015	0	1
41	4111	0	0.542723	0.630071104	0.513880551	0.39840886	0.825911105	0.060307756	0.743547976	0.780613899	0.084705815	0.375925869	0.371903747	0.352246285	0.55102098	0.588315249	0.597900093	0.546846449	0.374236822	0.496889949	0.026747363	0.378473878	0.725698471	0.000944396	0.37937814	0.022283271	1	0	1	2010	0	1
42	4111	0	0.578516901	0.40292266	0.462251306	0.377644867	0.618070304	0.164773569	0.679129481	0.570319653	0.1596248	0.499495626	0.371903747	0.459599137	0.533545256	0.588315249	0.597900093	0.546846449	0.74073267	0.499601215	0.394046307	0.383882791	0.597240508	4.15069E-05	0.367067486	0.249774709	1	0	2	2011	0	1
43	4111	0	0.566049159	0.406311035	0.41196239	0.380635321	0.619269311	0.701980293	0.67632401	0.566539586	0.141377002	0.484899521	0.49487707	0.453750491	0.534010589	0.588315249	0.597900093	0.546846449	0.473724365	0.499756694	0.325399309	0.386513799	0.597824991	4.15069E-05	0.367179096	0.204950824	1	0	3	2012	0	1
44	4111	0	0.587070406	0.41410923	0.258292824	0.38475427	0.635904312	0.984946668	0.849187672	0.591653764	0.127453864	0.337636918	0.503199399	0.450469405	0.536079824	0.588315249	0.597900093	0.546846449	0.204262972	0.500209808	0.02641088	0.390777081	0.598564684	4.15069E-05	0.365616024	0.014439994	1	0	4	2013	0	1
45	4111	0	0.311294317	0.374104768	0.493573874	0.00409073	0.420345694	0.055155419	0.374716163	0.459599972	0.042496972	0.304805756	0.528268516	0.623249471	0.533692956	0.588350833	0.597934961	0.549858689	0.467618853	0.500239313	0.019770294	0.674946189	0.596684933	4.15069E-05	0.365831524	0.011151604	1	0	5	2014	0	1
46	4111	1	0.541216075	0.373884887	0.378178507	0.388788581	0.597620904	0.055281412	0.549045444	0.522907794	0.041894384	0.375925869	0.371903747	0.431606382	0.538538754	0.588315249	0.599594832	0.564131975	0.473233759	0.500769258	0.019759208	0.702561021	0.597818911	4.15069E-05	0.366006732	0.012909643	1	0	6	2015	0	1
47	4202	0	0.542723	0.381433606	0.501332343	0.388901442	0.599942744	0.113680527	0.553290725	0.523775399	0.043911405	0.498289883	0.547082722	0.423217684	0.530347288	0.588315249	0.597900093	0.546846449	0.473233759	0.748645604	0.019700727	0.534696639	0.597256184	0.001694431	0.365181655	0.007479202	1	1	1	2008	0	1
48	4202	0	0.453282088	0.380304635	0.464733183	0.293682784	0.535734296	0.073164135	0.532056391	0.499046058	0.050154973	0.487431645	0.547063053	0.448972315	0.582731903	0.608678043	0.616427362	0.589965046	0.455942005	0.488551289	0.027591571	0.375474095	0.609850049	0.001164673	0.458424747	0.014936073	0.791754603	0	2	2009	0	1
49	4202	0	0.555431247	0.393620223	0.531318307	0.456428081	0.604826331	0.087172486	0.55409956	0.531561017	0.048251335	0.375925869	0.542024314	0.352246285	0.61757952	0.468967438	0.407252789	0.626934409	0.448243022	0.500564814	0.024226643	0.374116778	0.569778085	0.000812464	0.438128859	0.012645679	0.810095429	0	3	2010	0	1
50	4202	0	0.576913595	0.405750841	0.536796868	0.452942491	0.615110636	0.097697713	0.558254242	0.537543058	0.05344398	0.57039392	0.548016846	0.525596023	0.110487178	0.53407675	0.540908992	0.247840241	0.353412569	0.505561411	0.027488519	0.375469446	0.59352088	0.002996336	0.437180609	0.03300501	0.773544908	0	4	2011	0	1
51	4202	0	0.544323206	0.390901029	0.561262012	0.434689373	0.599007368	0.086263448	0.552383423	0.528772533	0.049309406	0.381136358	0.545266628	0.334809423	0.61757952	0.377951562	0.382014513	0.626934409	0.444668561	0.498445958	0.025009243	0.37216875	0.564697862	0.003207395	0.464986801	0.029251291	0.785810292	0	5	2012	0	1
52	4202	0	0.557134509	0.380333096	0.832154274	0.4018507	0.60380137	0.0812122	0.553986311	0.528630257	0.044054806	0.422041953	0.546312273	0.414466739	0.799695909	0.454680562	0.374379605	0.812264204	0.385684699	0.497845143	0.022760455	0.437473685	0.524666071	0.001898828	0.491780132	0.033126496	0.804575265	0	6	2013	0	1
53	4202	0	0.554757357	0.377941459	0.568603396	0.484314174	0.602258682	0.075549804	0.553300262	0.527671099	0.042020995	0.375925869	0.498812318	0.352246285	0.61757952	0.406688392	0.299918592	0.626934409	0.107610121	0.50074029	0.022909291	0.447078466	0.544145346	0.003038548	0.506875336	0.030509202	0.838275254	0	7	2014	0	1
54	4202	0	0.564195156	0.376921237	0.559048533	0.514303446	0.605872095	0.073595151	0.55479759	0.530090034	0.043040246	0.837980866	0.550251305	0.718566656	0.359353781	0.485347152	0.429758787	0.375666052	0.401929796	0.501267612	0.022940265	0.466223717	0.559979975	0.010045715	0.45440501	0.035521861	0.778051794	0	8	2015	0	1
55	4202	0	0.520352542	0.376632959	0.633312285	0.38946566	0.590929985	0.074701153	0.550014079	0.523473084	0.040911745	0.435772687	0.546520293	0.423016816	0.705395997	0.661853254	0.766511858	0.732817054	0.617586136	0.497339934	0.027140623	0.485270768	0.57746309	0.003418455	0.568265736	0.033226866	0.845999837	0	9	2016	0	1
56	4202	0	0.546621561	0.376240253	0.445426792	0.238616481	0.599418402	0.072395802	0.5525195	0.526310444	0.04163143	0.476430595	0.546869338	0.444072485	0.593273103	0.178771779	0.382014513	0.601110816	0.311764062	0.492648065	0.031114673	0.480306923	0.546617627	0.016504128	0.515563786	0.031425145	0.836522758	0	10	2017	0	1
57	5107	0	0.542723	0.375267714	0.519477069	0.66467303	0.600667715	0.081134006	0.552829981	0.528015435	0.037858743	0.56077677	0.547793746	0.507818759	0.530347288	0.588315249	0.597900093	0.546846449	0.362352818	0.507134259	0.020642227	0.719574213	0.586471558	0.002099648	0.814310014	0.047896437	1	0	1	2008	0	1
58	5107	0	0.310422808	0.371828586	0.430072963	0.266743779	0.562850833	0.06782674	0.545031905	0.517903626	0.036480974	0.47706309	0.546011746	0.440250784	0.530347288	0.588315249	0.597900093	0.546846449	0.628379881	0.487055898	0.026090071	0.813798785	0.587089181	0.000923567	0.620062232	0.027095392	1	0	2	2009	0	1
59	5107	0	0.615228832	0.375182092	0.526539385	0.663531542	0.607919633	0.072236173	0.554323673	0.529960394	0.03860886	0.532386363	0.547904372	0.511413157	0.465896219	0.455382079	0.51880151	0.478405148	0.774398685	0.507805884	0.038715139	0.499255776	0.588564277	0.000766981	0.571980774	0.036382038	0.924237311	0	3	2010	0	1
60	5107	1	0.542723	0.355508834	0.495167434	0.313660204	0.31040898	0.056656186	0.526993752	0.489130795	0.028933188	0.487213612	0.546967804	0.480413318	0.537874579	0.593324125	0.600472748	0.553396583	0.009686546	0.457245022	0.020047432	0.338136643	0.572427452	0.000296676	0.206377506	0.013139998	0.965744913	0	4	2011	0	1
61	6976	0	0.542723	0.39720422	0.521387279	0.421905428	0.614664018	0.090901494	0.557357729	0.533883929	0.048763122	0.534864306	0.54787457	0.485330135	0.089147717	0.487672538	0.519838929	0.326966822	0.447846711	0.508366942	0.044560168	0.381724894	0.627526581	0.008268266	0.465519637	0.050526749	0.621522546	0	1	2010	0	1
62	6976	0	0.568554699	0.392253786	0.525347352	0.463185132	0.608183086	0.081715062	0.554477453	0.528890789	0.043153305	0.521803558	0.547811091	0.47332111	0.287659586	0.454504103	0.495314747	0.462250322	0.527150035	0.518430889	0.038388118	0.371257007	0.584050596	0.010987273	0.569773614	0.063791178	0.679798544	0	2	2011	0	1
63	6976	0	0.591752648	0.399137676	0.529171884	0.505704999	0.610502601	0.08014556	0.554606617	0.528127968	0.040058997	0.51610589	0.547301352	0.462082982	0.337905765	0.514921486	0.556335926	0.513038218	0.897247613	0.542372227	0.050235715	0.372516811	0.599653184	0.008810349	0.620062232	0.03413336	0.728493333	0	3	2012	0	1
64	6976	0	0.686776638	0.419007301	0.509303093	0.747756541	0.674698949	0.105007224	0.5829072	0.573586106	0.057886981	0.497209221	0.547117531	0.456927091	0.469907999	0.567672908	0.587070286	0.536435902	0.450626731	0.648516893	0.106691122	0.372108698	0.609552443	0.0082726	0.425711453	0.10017217	0.107273772	0	4	2013	0	1
65	6976	0	0.57130456	0.399517119	0.51489979	0.49860853	0.617400587	0.095063873	0.558966398	0.536949635	0.052824896	0.505125225	0.54741919	0.463993609	0.357123047	0.48738125	0.537212372	0.49503234	0.072687797	0.528669953	0.048694361	0.37601155	0.580275178	0.056416668	0.437530935	0.089047216	0.359236866	0	5	2014	0	1
66	6976	0	0.565656662	0.391246259	0.527743578	0.476157278	0.607504427	0.082387336	0.554413676	0.528654397	0.043621667	0.516388714	0.547941566	0.474481374	0.319864929	0.442931771	0.490707159	0.445716769	0.892284334	0.513996482	0.06229917	0.376812935	0.562425792	0.10777808	0.545630038	0.063752443	0.763822496	0	6	2015	0	1
67	6976	0	0.571086109	0.388136864	0.527465165	0.507671177	0.609473586	0.082165949	0.555016816	0.529699683	0.043875244	0.50932914	0.547543824	0.464968413	0.395084202	0.447479039	0.500496686	0.47908476	0.446939409	0.518891573	0.061502975	0.384462059	0.567297041	0.222772792	0.52777034	0.063126855	0.740090728	0	7	2016	0	1
68	7206	0	0.542723	0.378536791	0.506307364	0.63174969	0.621680796	0.097330324	0.570961118	0.542174578	0.047452718	0.507858753	0.547371805	0.475289077	0.530347288	0.588315249	0.597900093	0.546846449	0.338966429	0.513132215	0.023965828	0.490104824	0.480930239	4.15069E-05	0.413208097	0.067342006	1	0	1	2008	0	1
69	7206	0	0.608745694	0.380565256	0.509889722	0.66082406	0.632600248	0.098226272	0.575531304	0.549324155	0.049912468	0.506191373	0.547660649	0.475461662	0.526251793	0.588315249	0.597900093	0.546846449	0.457934469	0.516175389	0.020152779	0.454009861	0.59007442	0.006487017	0.377743661	0.075303584	1	0	2	2009	0	1
70	7206	0	0.561551631	0.387160301	0.514608562	0.559024155	0.608369172	0.135371491	0.562348962	0.541009605	0.06571763	0.500371814	0.548701704	0.502904117	0.482008994	0.512891591	0.588229179	0.535090268	0.617586136	0.505644918	0.170169279	0.408243358	0.557948828	0.003391341	0.375274152	0.157094836	0.812388599	0	3	2010	0	1
71	7206	0	0.56497407	0.381489307	0.512287498	0.678622961	0.611380756	0.09813948	0.560804784	0.537142992	0.05183633	0.51260978	0.547747433	0.485419452	0.502827704	0.53579694	0.587295413	0.537501574	0.362352818	0.508070707	0.045909446	0.437644631	0.522310078	0.00030348	0.376300126	0.067576513	0.874895096	0	4	2011	0	1
72	7206	0	0.578537464	0.384503722	0.512004852	0.722755194	0.621335983	0.123925686	0.574427486	0.550793707	0.061101668	0.503447235	0.547728717	0.48308152	0.506483972	0.556709468	0.592030227	0.539410114	0.78400296	0.510193706	0.105812937	0.417949975	0.583424509	0.007981559	0.372931093	0.129350156	0.806204379	0	5	2012	0	1
73	7206	1	0.584669769	0.384291142	0.508593023	0.81436497	0.627792597	0.104675464	0.572277248	0.554171681	0.057966631	0.50474447	0.547581255	0.480372965	0.50969249	0.559233725	0.591338992	0.539369226	0.084842458	0.514599621	0.040291842	0.411340535	0.589600384	0.008186582	0.376215875	0.09042912	0.831505477	0	6	2013	0	1
74	9588	0	0.542723	0.381269962	0.518216848	0.5264346	0.60603261	0.077417642	0.553904474	0.528850794	0.040595036	0.535486698	0.547812164	0.477890074	0.530347288	0.588315249	0.597900093	0.546846449	0.346434802	0.511626422	0.020270668	0.408749849	0.511539161	0.033934582	0.678176582	0.018460328	1	0	1	2009	0	1
75	9588	0	0.58423996	0.37321198	0.532837212	0.589065075	0.606313288	0.075919636	0.557043612	0.527748704	0.038769797	0.735504627	0.551539004	0.7115376	0.421890408	0.5253461	0.581633925	0.480975926	0.473639876	0.501496553	0.020715606	0.836593211	0.646831751	0.034523752	0.450146258	0.022681242	0.939164817	0	2	2010	0	1
76	9588	0	0.546310067	0.380299658	0.549968183	0.542791307	0.599349976	0.113889955	0.553202391	0.52656585	0.048743568	0.548862159	0.548856974	0.490982533	0.494804382	0.334240168	0.500254095	0.521884441	0.617586136	0.503057897	0.069762781	0.48188746	0.569564641	0.028420333	0.3883726	0.075073846	0.930480361	0	3	2011	0	1
77	9588	0	0.518164873	0.382067412	0.437010914	0.282998353	0.58479631	0.094071366	0.545457959	0.519599676	0.048015401	0.453037679	0.545666993	0.458601147	0.559173703	0.614043653	0.608733118	0.568118095	0.023764174	0.496832401	0.025676776	0.445193291	0.675366461	0.021508992	0.408972234	0.018905403	0.954909921	0	4	2012	0	1
78	9588	0	0.546935618	0.384920687	0.540233135	0.542797506	0.600522518	0.124196567	0.554164231	0.526928127	0.055273172	0.525777459	0.547814965	0.463420093	0.522717178	0.588315249	0.597900093	0.546846449	0.40830788	0.505703151	0.023779897	0.434220672	0.592350245	0.02733475	0.365181655	0.028785996	1	0	5	2013	0	1
79	9588	0	0.543163836	0.383314788	0.54721874	0.52770412	0.598379076	0.108819708	0.552277684	0.525126517	0.049851988	0.541655481	0.54825592	0.467981726	0.521376252	0.588315249	0.597900093	0.546846449	0.74520278	0.504322171	0.038743679	0.452382952	0.589921832	0.031495418	0.365181655	0.034729473	1	0	6	2014	0	1
80	9588	0	0.343248546	0.37262997	0.485441625	0.313660204	0.546898663	0.062999882	0.540342391	0.51004982	0.037809353	0.440971404	0.546686292	0.540049672	0.535551965	0.588315249	0.597900093	0.546846449	0.159125596	0.497358948	0.019740276	0.595095098	0.215804949	0.001694431	0.365181655	0.010399017	1	0	7	2015	0	1
81	9588	0	0.142730326	0.370485991	0.475562513	0.313660204	0.548870146	0.060922869	0.539974451	0.513261974	0.035641853	0.402750254	0.546043754	0.628634512	0.542396069	0.588315249	0.597900093	0.546846449	0.506977737	0.498669177	0.020521127	0.625535727	0.378429771	0.001694431	0.365181655	0.013649612	1	0	8	2016	0	1
