tier,fico,approve date,term,amount,car type,competition apr,accept,apr,prime,partner bin
3,690,7/12/2002,60,21498,U,5.8,0,7.29,1.84,1
2,702,7/12/2002,60,35482.74,U,5.8,1,6.19,1.84,3
2,715,7/12/2002,60,18400,U,5.8,1,6.19,1.84,1
4,669,7/12/2002,60,44000,U,5.8,0,7.99,1.84,1
4,658,7/13/2002,60,15237.5,U,5.8,1,7.99,1.84,1
3,674,7/12/2002,60,25000,U,5.8,0,7.29,1.84,1
4,663,7/12/2002,60,23378,U,5.8,1,7.99,1.84,2
2,716,7/13/2002,60,10313.08,U,5.8,1,6.19,1.84,1
3,684,7/13/2002,60,18000,U,5.8,1,7.29,1.84,3
3,682,7/13/2002,60,30000,U,5.8,0,7.29,1.84,3
1,750,7/13/2002,60,15000,U,5.8,1,5.79,1.84,3
2,705,7/14/2002,60,10660,U,5.8,1,6.19,1.84,1
1,780,7/14/2002,60,16355.2,U,5.8,1,5.79,1.84,2
1,763,7/14/2002,60,45000,U,5.8,0,5.35,1.84,3
1,754,7/14/2002,60,29000,U,5.8,0,5.79,1.84,3
2,713,7/14/2002,60,14400,U,5.8,1,6.19,1.84,2
1,784,7/15/2002,60,14363.89,U,5.8,1,5.79,1.8388,3
4,663,7/15/2002,60,36000,U,5.8,0,7.99,1.8388,1
3,670,7/15/2002,60,20639.91,U,5.8,1,6.59,1.8388,3
2,706,7/15/2002,60,24025,U,5.8,0,6.19,1.8388,1
2,714,7/15/2002,60,28000,U,5.8,0,6.19,1.8388,1
1,811,7/15/2002,60,23425,U,5.8,0,5.79,1.8388,1
1,756,7/16/2002,60,16500.59,U,5.8,1,5.78,1.8375,1
2,704,7/15/2002,60,23000,U,5.8,0,6.19,1.8388,3
1,759,7/15/2002,60,18360.04,U,5.8,1,5.79,1.8388,1
2,724,7/15/2002,60,19004.68,U,5.8,1,6.69,1.8388,1
4,653,7/15/2002,60,25000,U,5.8,0,7.99,1.8388,3
1,759,7/15/2002,60,25000,U,5.8,0,5.79,1.8388,3
2,700,7/15/2002,60,10917,U,5.8,0,6.19,1.8388,1
4,660,7/15/2002,60,34000,U,5.8,0,7.99,1.8388,3
1,765,7/15/2002,60,18000,U,5.8,1,5.79,1.8388,3
1,750,7/15/2002,60,22000,U,5.8,0,5.79,1.8388,3
4,660,7/16/2002,60,30000,U,5.8,0,7.99,1.8375,1
1,788,7/16/2002,60,20000,U,5.8,0,5.69,1.8375,1
2,719,7/16/2002,60,28000,U,5.8,0,5.69,1.8375,3
1,790,7/16/2002,60,10000,U,5.8,1,5.69,1.8375,1
1,799,7/16/2002,60,14057.5,U,5.8,1,5.69,1.8375,2
3,682,7/16/2002,60,20000,U,5.8,0,6.59,1.8375,1
4,669,7/16/2002,60,18332,U,5.8,0,7.99,1.8375,1
2,722,7/16/2002,60,20746.55,U,5.8,1,5.69,1.8375,3
1,764,7/16/2002,60,32000,U,5.8,0,5.69,1.8375,1
2,719,7/16/2002,60,22941.92,U,5.8,1,5.69,1.8375,1
3,693,7/16/2002,60,19620.11,U,5.8,1,6.59,1.8375,2
2,721,7/16/2002,60,18000,U,5.8,0,5.69,1.8375,1
2,728,7/17/2002,60,23643.69,U,5.8,1,5.69,1.84,1
1,745,7/16/2002,60,16039,U,5.8,1,5.69,1.8375,3
1,735,7/18/2002,60,12889.5,U,5.8,1,5.69,1.84,1
2,727,7/17/2002,60,23900,U,5.8,0,5.69,1.84,1
2,702,7/17/2002,60,24226.5,U,5.8,1,5.35,1.84,1
1,757,7/17/2002,60,21907.99,U,5.8,1,5.69,1.84,3
2,715,7/17/2002,60,20200,U,5.8,1,5.69,1.84,3
3,674,7/17/2002,60,23135,U,5.8,1,6.59,1.84,3
1,779,7/17/2002,60,10343.32,U,5.8,1,5.69,1.84,2
1,748,7/17/2002,60,25000,U,5.8,0,5.69,1.84,1
4,651,7/17/2002,60,19936.47,U,5.8,1,7.99,1.84,3
1,769,7/17/2002,60,10551.75,U,5.8,1,5.69,1.84,2
4,652,7/17/2002,60,19000,U,5.8,1,7.99,1.84,1
4,660,7/17/2002,60,16892.41,U,5.8,1,7.99,1.84,3
1,812,7/18/2002,60,13719.22,U,5.8,1,5.69,1.84,3
1,731,7/18/2002,60,16416,U,5.8,1,5.69,1.84,2
1,788,7/18/2002,60,31368,U,5.8,0,5.69,1.84,1
1,734,7/18/2002,60,14398.61,U,5.8,1,5.69,1.84,2
4,649,7/18/2002,60,24466.25,U,5.8,1,7.99,1.84,3
1,779,7/18/2002,60,17469.95,U,5.8,1,5.69,1.84,2
1,750,7/18/2002,60,12579.34,U,5.8,1,5.69,1.84,1
2,705,7/18/2002,60,21262,U,5.8,0,5.69,1.84,1
3,692,7/19/2002,60,25000,U,5.8,0,6.59,1.84,1
1,754,7/19/2002,60,16712.65,U,5.8,1,5.69,1.84,1
4,656,7/19/2002,60,13572.43,U,5.8,1,7.99,1.84,1
1,753,7/19/2002,60,35228.47,U,5.8,1,5.69,1.84,1
2,721,7/19/2002,60,23609.62,U,5.8,1,5.69,1.84,1
3,681,7/19/2002,60,18000,U,5.8,0,6.59,1.84,3
2,722,7/19/2002,60,25700,U,5.8,0,5.69,1.84,1
3,691,7/19/2002,60,16919.84,U,5.8,1,6.59,1.84,3
4,646,7/19/2002,60,24000,U,5.8,1,7.99,1.84,1
2,702,7/19/2002,60,19071.23,U,5.8,1,5.69,1.84,3
4,654,7/19/2002,60,29500,U,5.8,0,7.99,1.84,1
1,786,7/20/2002,60,39000,U,5.8,0,5.69,1.84,3
3,685,7/19/2002,60,16140.9,U,5.8,1,6.59,1.84,1
2,706,7/19/2002,60,13700,U,5.8,1,5.69,1.84,1
3,685,7/20/2002,60,27000,U,5.8,0,6.59,1.84,1
3,679,7/20/2002,60,21929,U,5.8,0,6.59,1.84,3
1,746,7/20/2002,60,22000,U,5.8,0,5.69,1.84,1
1,762,7/20/2002,60,35000,U,5.8,0,5.69,1.84,1
3,677,7/20/2002,60,16809.93,U,5.8,1,6.59,1.84,1
3,685,7/20/2002,60,6812.85,U,5.8,1,6.59,1.84,1
1,773,7/20/2002,60,39000,U,5.8,0,5.69,1.84,1
2,705,7/22/2002,60,20000,U,5.75,0,5.69,1.8388,1
4,644,7/21/2002,60,15305,U,5.8,0,7.99,1.84,3
2,709,7/22/2002,60,21677.5,U,5.75,1,5.69,1.8388,3
1,812,7/21/2002,60,10715,U,5.8,1,5.69,1.84,1
2,706,7/22/2002,60,23600,U,5.75,0,5.69,1.8388,1
1,758,7/21/2002,60,13018.65,U,5.8,1,5.69,1.84,3
3,666,7/22/2002,60,13736.2,U,5.75,1,6.44,1.8388,3
1,774,7/22/2002,60,16702.23,U,5.75,1,5.69,1.8388,1
4,667,7/22/2002,60,36997,U,5.75,0,7.99,1.8388,1
1,746,7/22/2002,60,17072,U,5.75,1,5.69,1.8388,1
1,806,7/22/2002,60,23000,U,5.75,0,5.69,1.8388,1
1,774,7/22/2002,60,16000,U,5.75,1,5.69,1.8388,1
1,756,7/22/2002,60,15600,U,5.75,1,5.69,1.8388,3
2,715,7/22/2002,60,29000,U,5.75,0,5.35,1.8388,3
1,751,7/22/2002,60,34000,U,5.75,0,5.69,1.8388,3
2,709,7/22/2002,60,16065.06,U,5.75,1,5.35,1.8388,1
4,679,7/22/2002,60,30226.08,U,5.75,1,7.99,1.8388,3
2,704,7/22/2002,60,25685.7,U,5.75,1,5.69,1.8388,1
2,722,7/22/2002,60,42000,U,5.75,0,5.35,1.8388,3
4,645,7/22/2002,60,22000,U,5.75,0,7.99,1.8388,1
1,833,7/22/2002,60,17146.3,U,5.75,1,5.69,1.8388,1
1,750,7/22/2002,60,12593.27,U,5.75,1,5.69,1.8388,1
1,742,7/22/2002,60,15080,U,5.75,1,5.69,1.8388,1
4,652,7/22/2002,60,27000,U,5.75,0,7.99,1.8388,3
4,666,7/23/2002,60,30000,U,5.75,0,7.99,1.8369,3
2,721,7/23/2002,60,18000,U,5.75,0,5.69,1.8369,1
1,776,7/23/2002,60,15398,U,5.75,1,5.35,1.8369,3
1,749,7/23/2002,60,20826.24,U,5.75,1,5.64,1.8369,3
1,742,7/23/2002,60,19500,U,5.75,1,5.64,1.8369,3
3,708,7/23/2002,60,18000,U,5.75,1,6.44,1.8369,3
4,664,7/23/2002,60,25000,U,5.75,0,7.99,1.8369,1
4,665,7/23/2002,60,25898,U,5.75,0,7.99,1.8369,3
1,770,7/23/2002,60,15921.96,U,5.75,1,5.64,1.8369,1
1,791,7/23/2002,60,19000,U,5.75,0,5.64,1.8369,1
1,758,7/23/2002,60,17526.36,U,5.75,1,5.64,1.8369,1
3,679,7/23/2002,60,12967.5,U,5.75,1,6.59,1.8369,1
3,677,7/23/2002,60,27000,U,5.75,0,6.59,1.8369,1
2,727,7/23/2002,60,33000,U,5.75,0,5.69,1.8369,1
4,666,7/23/2002,60,11603.9,U,5.75,1,7.99,1.8369,1
1,786,7/23/2002,60,23500,U,5.75,0,5.64,1.8369,1
1,759,7/23/2002,60,25000,U,5.75,0,5.64,1.8369,1
2,716,7/23/2002,60,22000,U,5.75,1,4.64,1.8369,1
1,761,7/24/2002,60,11535.76,U,5.75,1,5.64,1.8175,3
3,673,7/24/2002,60,16995.23,U,5.75,1,6.59,1.8175,1
1,770,7/24/2002,60,14650,U,5.75,1,5.64,1.8175,3
1,747,7/24/2002,60,17622.49,U,5.75,1,5.64,1.8175,1
1,739,7/24/2002,60,32000,U,5.75,0,5.64,1.8175,1
1,777,7/24/2002,60,36663,U,5.75,0,5.64,1.8175,1
1,735,7/24/2002,60,45000,U,5.75,0,5.64,1.8175,3
1,746,7/24/2002,60,13794,U,5.75,1,5.64,1.8175,3
2,711,7/24/2002,60,17500,U,5.75,0,5.69,1.8175,1
2,709,7/24/2002,60,27250,U,5.75,0,5.69,1.8175,1
2,715,7/24/2002,60,16835,U,5.75,1,5.35,1.8175,3
1,798,7/24/2002,60,32000,U,5.75,0,5.64,1.8175,1
3,682,7/24/2002,60,34312.22,U,5.75,1,6.59,1.8175,3
2,709,7/24/2002,60,27500,U,5.75,0,5.69,1.8175,3
1,757,7/24/2002,60,35000,U,5.75,1,5.64,1.8175,1
1,795,7/25/2002,60,28000,U,5.75,1,5.64,1.82,1
4,657,7/25/2002,60,22812,U,5.75,0,7.99,1.82,3
1,732,7/25/2002,60,42000,U,5.75,0,5.64,1.82,1
1,744,7/25/2002,60,22000,U,5.75,0,5.64,1.82,1
2,718,7/25/2002,60,43000,U,5.75,0,5.69,1.82,1
2,702,7/25/2002,60,20845,U,5.75,0,5.69,1.82,1
1,743,7/25/2002,60,22936.34,U,5.75,1,5.64,1.82,3
1,758,7/27/2002,60,25000,U,5.75,0,5.64,1.81,1
1,760,7/25/2002,60,15492.38,U,5.75,1,5.64,1.82,1
3,678,7/25/2002,60,39800,U,5.75,0,5.81,1.82,3
4,651,7/25/2002,60,35000,U,5.75,0,7.99,1.82,1
3,680,7/25/2002,60,23479,U,5.75,1,6.59,1.82,3
3,681,7/25/2002,60,19098,U,5.75,1,6.59,1.82,1
1,780,7/25/2002,60,18566.83,U,5.75,1,5.64,1.82,1
1,754,7/26/2002,60,23000,U,5.75,0,5.64,1.81,3
4,641,7/26/2002,60,8049.99,U,5.75,1,7.99,1.81,3
1,730,7/26/2002,60,8700,U,5.75,1,5.64,1.81,3
1,770,7/26/2002,60,20714.41,U,5.75,1,5.64,1.81,1
4,667,7/26/2002,60,12161.25,U,5.75,1,7.99,1.81,1
4,656,7/26/2002,60,12448.75,U,5.75,1,7.99,1.81,1
1,802,7/26/2002,60,10400,U,5.75,1,5.64,1.81,1
3,695,7/26/2002,60,25000,U,5.75,0,6.59,1.81,3
2,721,7/26/2002,60,14694.75,U,5.75,1,5.69,1.81,3
1,754,7/27/2002,60,29000,U,5.75,0,4.85,1.81,1
1,769,7/27/2002,60,35000,U,5.75,0,5.64,1.81,1
4,663,7/27/2002,60,14690.67,U,5.75,1,7.99,1.81,1
2,701,7/27/2002,60,14200,U,5.75,1,5.69,1.81,1
1,740,7/27/2002,60,11750,U,5.75,1,5.64,1.81,1
1,733,7/27/2002,60,20055.09,U,5.75,1,5.64,1.81,1
1,758,7/27/2002,60,27893.02,U,5.75,1,5.64,1.81,3
2,718,7/27/2002,60,16690.7,U,5.75,1,5.69,1.81,1
3,699,7/27/2002,60,23528,U,5.75,0,6.59,1.81,3
1,734,7/27/2002,60,26000,U,5.75,0,5.64,1.81,3
1,766,7/27/2002,60,19666.98,U,5.75,1,5.64,1.81,3
1,761,7/28/2002,60,21320,U,5.75,0,5.64,1.81,3
3,691,7/27/2002,60,18700,U,5.75,0,6.59,1.81,3
3,676,7/28/2002,60,17050.7,U,5.75,1,6.59,1.81,1
2,708,7/28/2002,60,15983,U,5.75,0,5.69,1.81,3
1,775,7/28/2002,60,19745.23,U,5.75,1,5.64,1.81,3
1,755,7/28/2002,60,30088,U,5.75,0,5.64,1.81,1
1,746,7/28/2002,60,38000,U,5.75,0,5.64,1.81,3
4,645,7/28/2002,60,15719,U,5.75,0,7.99,1.81,1
1,805,7/28/2002,60,17723.55,U,5.75,1,5.64,1.81,1
1,763,7/28/2002,60,20619.85,U,5.75,1,5.64,1.81,1
4,649,7/28/2002,60,25000,U,5.75,0,7.99,1.81,1
3,697,7/28/2002,60,9325.22,U,5.75,1,6.59,1.81,1
1,801,7/28/2002,60,18041.31,U,5.75,1,5.64,1.81,1
2,708,7/28/2002,60,25250,U,5.75,0,5.69,1.81,3
4,663,7/28/2002,60,16392,U,5.75,0,7.99,1.81,1
1,730,7/28/2002,60,15912.63,U,5.75,1,5.64,1.81,1
3,687,7/29/2002,60,33000,U,5.75,0,6.59,1.81,3
3,685,7/28/2002,60,40000,U,5.75,0,6.59,1.81,3
3,679,7/29/2002,60,34000,U,5.75,0,6.59,1.81,1
3,697,7/29/2002,60,17735.89,U,5.75,1,6.59,1.81,3
2,718,7/29/2002,60,30100,U,5.75,0,5.69,1.81,3
2,728,7/29/2002,60,26100,U,5.75,0,5.69,1.81,3
3,695,7/29/2002,60,34500,U,5.75,0,6.59,1.81,3
1,771,7/29/2002,60,17518.6,U,5.75,1,5.64,1.81,3
1,744,7/29/2002,60,18500,U,5.75,0,5.64,1.81,3
2,720,7/29/2002,60,11636.03,U,5.75,1,5.25,1.81,1
4,640,7/29/2002,60,20203,U,5.75,0,7.99,1.81,1
3,698,7/29/2002,60,16216.8,U,5.75,1,6.59,1.81,3
3,677,7/29/2002,60,9457.5,U,5.75,1,6.59,1.81,3
2,719,7/29/2002,60,24275.18,U,5.75,1,5.69,1.81,1
1,743,7/29/2002,60,30500,U,5.75,0,5.64,1.81,1
2,726,7/29/2002,60,34033.9,U,5.75,1,5.69,1.81,1
3,690,7/29/2002,60,29995,U,5.75,0,6.59,1.81,1
1,753,7/29/2002,60,31000,U,5.75,0,5.64,1.81,1
1,791,7/30/2002,60,19281.51,U,5.75,1,5.64,1.8188,1
1,797,7/30/2002,60,15873.43,U,5.75,1,5.64,1.8188,3
3,683,7/30/2002,60,16144.76,U,5.75,1,6.59,1.8188,1
2,729,7/30/2002,60,22000,U,5.75,0,5.69,1.8188,3
2,706,7/30/2002,60,11310,U,5.75,1,5.69,1.8188,3
3,693,7/30/2002,60,22000,U,5.75,0,6.59,1.8188,1
2,702,7/30/2002,60,29497.22,U,5.75,1,5.69,1.8188,1
1,750,7/30/2002,60,16629.22,U,5.75,1,5.64,1.8188,1
1,766,7/30/2002,60,36000,U,5.75,0,5.64,1.8188,1
1,764,7/30/2002,60,26810,U,5.75,0,5.64,1.8188,1
1,758,7/30/2002,60,27131,U,5.75,0,5.64,1.8188,1
3,673,7/30/2002,60,25399,U,5.75,1,6.59,1.8188,1
2,703,7/30/2002,60,17024.01,U,5.75,1,5.69,1.8188,3
1,742,7/30/2002,60,17832,U,5.75,0,5.64,1.8188,1
1,732,7/30/2002,60,24000,U,5.75,0,5.64,1.8188,1
2,720,7/30/2002,60,6855.79,U,5.75,1,5.69,1.8188,1
4,663,7/30/2002,60,35000,U,5.75,0,7.99,1.8188,1
3,696,7/30/2002,60,29120,U,5.75,0,6.59,1.8188,1
1,772,7/31/2002,60,24890.54,U,5.75,1,5.64,1.82,1
3,672,7/30/2002,60,11858.4,U,5.75,1,6.59,1.8188,3
2,720,7/30/2002,60,25014,U,5.75,0,5.69,1.8188,1
1,736,7/31/2002,60,16245,U,5.75,1,5.64,1.82,1
3,684,7/31/2002,60,14110.67,U,5.75,1,6.59,1.82,1
1,764,7/31/2002,60,20870.4,U,5.75,1,5.64,1.82,1
1,793,7/31/2002,60,16951.5,U,5.75,1,5.64,1.82,1
2,728,7/31/2002,60,25000,U,5.75,1,5.69,1.82,3
1,777,7/31/2002,60,14099.1,U,5.75,1,5.64,1.82,3
2,727,7/31/2002,60,29000,U,5.75,0,5.69,1.82,1
2,707,7/31/2002,60,27167,U,5.75,0,5.69,1.82,1
3,682,7/31/2002,60,38500,U,5.75,0,6.59,1.82,1
4,663,7/31/2002,60,17500,U,5.75,0,7.99,1.82,1
1,752,7/31/2002,60,11000,U,5.75,1,5.64,1.82,3
1,773,7/31/2002,60,30000,U,5.75,0,5.64,1.82,1
2,722,7/31/2002,60,25000,U,5.75,0,5.69,1.82,1
3,698,7/31/2002,60,30000,U,5.75,0,6.59,1.82,1
4,647,7/31/2002,60,35000,U,5.75,0,7.99,1.82,3
3,682,7/31/2002,60,17026.73,U,5.75,1,6.59,1.82,1
1,785,7/31/2002,60,28441,U,5.75,1,5.64,1.82,3
2,724,7/31/2002,60,25000,U,5.75,0,5.69,1.82,3
1,796,7/31/2002,60,23000,U,5.75,0,5.64,1.82,1
4,666,7/31/2002,60,44000,U,5.75,0,7.99,1.82,3
2,706,7/31/2002,60,15271.86,U,5.75,1,5.69,1.82,1
1,773,7/31/2002,60,8612.05,U,5.75,1,5.64,1.82,1
1,755,8/1/2002,60,35000,U,5.75,0,5.64,1.81,1
1,737,8/1/2002,60,22645.55,U,5.75,1,5.64,1.81,3
1,757,8/1/2002,60,12998.3,U,5.75,1,5.64,1.81,3
4,667,8/1/2002,60,15640,U,5.75,1,7.99,1.81,1
1,792,8/1/2002,60,43043.99,U,5.75,1,5.64,1.81,3
2,713,8/1/2002,60,16746.38,U,5.75,1,5.69,1.81,1
1,778,8/1/2002,60,21100,U,5.75,0,5.64,1.81,1
1,733,8/1/2002,60,11695,U,5.75,1,5.64,1.81,1
4,663,8/1/2002,60,21500,U,5.75,0,7.99,1.81,3
2,705,8/1/2002,60,17130.55,U,5.75,1,5.81,1.81,1
2,727,8/2/2002,60,13783.03,U,5.75,1,5.19,1.8,3
1,753,8/2/2002,60,11421,U,5.75,1,5.25,1.8,1
1,805,8/2/2002,60,12834.6,U,5.75,1,5.35,1.8,3
1,742,8/2/2002,60,34000,U,5.75,0,5.25,1.8,3
1,755,8/2/2002,60,28000,U,5.75,0,5.25,1.8,1
1,730,8/2/2002,60,40000,U,5.75,0,5.25,1.8,3
2,715,8/2/2002,60,50000,U,5.75,1,5.35,1.8,3
3,693,8/2/2002,60,25648,U,5.75,1,6.44,1.8,3
1,793,8/2/2002,60,26000,U,5.75,0,5.35,1.8,1
2,747,8/2/2002,60,29000,U,5.75,0,5.35,1.8,1
2,729,8/2/2002,60,16313.85,U,5.75,1,5.35,1.8,3
4,644,8/2/2002,60,40000,U,5.75,0,7.89,1.8,1
1,736,8/2/2002,60,12057.5,U,5.75,1,5.35,1.8,1
2,726,8/3/2002,60,28000,U,5.75,0,5.35,1.8,1
2,724,8/5/2002,60,27468.7,U,5.75,1,5.35,1.7888,1
2,720,8/3/2002,60,25000,U,5.75,0,5.35,1.8,1
1,748,8/3/2002,60,32000,U,5.75,0,5.35,1.8,1
4,662,8/3/2002,60,12290.01,U,5.75,1,7.89,1.8,3
1,730,8/3/2002,60,20923.47,U,5.75,1,5.35,1.8,1
1,737,8/3/2002,60,42000,U,5.75,0,5.35,1.8,1
